timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-06-28T01:09:26,PRECIPTATION lstm,28896a4f-3d4a-465b-82fa-b0d89a522e73,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1058.5201226000208,0.001681199309599,1.588254463665289e-06,42.5,5.268830391399888,10.0,0.0123677261271509,0.0018174203428239,0.0029092459894448,0.0170943924594197,Brazil,BRA,rio de janeiro,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.2,16,12th Gen Intel(R) Core(TM) i5-12500H,1,1 x NVIDIA GeForce RTX 2050,-43.0402,-22.8192,15.674007415771484,machine,N,1.0
2025-06-28T19:45:29,PRECIPTATION lstm,5c66dbd6-d40b-4313-9020-d22a577b4d26,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1841.964031600044,0.0029612314598675,1.6076489057689502e-06,42.5,5.637172768386276,10.0,0.0215282933858271,0.0035176636474619,0.0050637702602763,0.0301097272935654,Brazil,BRA,rio de janeiro,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.2,16,12th Gen Intel(R) Core(TM) i5-12500H,1,1 x NVIDIA GeForce RTX 2050,-43.0402,-22.8192,15.674007415771484,machine,N,1.0
2025-06-29T16:21:58,PRECIPTATION lstm,740766cc-19c2-4616-a00b-f39cda3722f7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14941.9204239,0.024881904002077918,1.6652413676543645e-06,42.5,9.012133786934198,10.0,0.176372517054375,0.035145145338315996,0.04148091411194443,0.25299857650463575,Brazil,BRA,rio de janeiro,,,Windows-11-10.0.26100-SP0,3.12.10,3.0.2,16,12th Gen Intel(R) Core(TM) i5-12500H,1,1 x NVIDIA GeForce RTX 2050,-43.0402,-22.8192,15.674007415771484,machine,N,1.0
